City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,nueva helvecia,-34.3,-57.2333,9.77,72,3,5.31,UY,1690415079
148,furmanov,57.2508,41.1058,17.73,97,44,4.98,RU,1690415079
149,dickinson,29.4608,-95.0513,35.04,65,40,6.17,US,1690415080
150,badger,64.8,-147.5333,28.33,55,75,2.57,US,1690415080
151,tippi,7.2,35.45,17.07,99,100,0.83,ET,1690415081
152,crane,31.3974,-102.3501,35.33,24,28,7.55,US,1690415081
153,pitimbu,-7.4706,-34.8086,24.33,86,31,4.96,BR,1690414920
154,selfoss,63.9331,-20.9971,10.58,77,100,2.75,IS,1690415082
155,bukene,-4.2333,32.8833,17.55,48,61,4.53,TZ,1690415083
156,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1690415083
157,novyy urgal,51.0736,132.5642,22.19,75,23,0.42,RU,1690415084
158,alghero,40.5589,8.3181,18.05,77,0,0.51,IT,1690415084
159,manicore,-5.8092,-61.3003,26.36,51,8,1.23,BR,1690415084
160,lisala,2.15,21.5167,22.27,86,60,0.66,CD,1690415085
161,howrah,22.5892,88.3103,28.0,89,40,2.57,IN,1690414982
162,dabola,10.75,-11.1167,22.86,94,92,0.34,GN,1690415086
163,happy valley-goose bay,53.3168,-60.3315,26.17,36,75,1.54,CA,1690415007
164,klaksvik,62.2266,-6.589,9.51,81,46,3.07,FO,1690415086
165,codrington,-38.2667,141.9667,11.11,71,4,7.04,AU,1690415087
166,olonkinbyen,70.9221,-8.7187,4.71,90,100,5.03,SJ,1690415087
167,nadym,65.5333,72.5167,18.49,82,10,2.85,RU,1690415088
168,margate,51.3813,1.3862,16.61,94,100,4.92,GB,1690414969
169,oltinko'l,40.8011,72.1634,28.45,28,19,1.38,UZ,1690415089
170,luderitz,-26.6481,15.1594,12.62,72,0,3.78,NA,1690415089
171,magong,23.5654,119.5863,30.57,73,100,4.12,TW,1690415090
172,hauterive,46.0901,3.4459,16.42,80,40,2.13,FR,1690415090
173,mondlo,-27.983,30.7177,12.27,50,0,5.52,ZA,1690415091
174,ceeldheer,3.8488,47.1806,24.0,85,89,7.85,SO,1690415091
175,bubaque,11.2833,-15.8333,27.63,80,100,5.0,GW,1690414815
176,weno,7.4515,151.8468,26.97,94,100,1.54,FM,1690415092
177,dudinka,69.4058,86.1778,22.57,66,25,1.05,RU,1690415093
178,jenzan,36.2408,128.2975,24.81,94,100,0.51,KR,1690415093
179,vernon,50.2581,-119.2691,26.83,27,49,2.68,CA,1690415062
180,quepos,9.4236,-84.1652,26.84,85,99,1.16,CR,1690414858
181,mount pleasant,32.7941,-79.8626,31.08,76,40,3.6,US,1690414946
182,ust-tsilma,65.441,52.1498,13.53,90,26,1.11,RU,1690414904
183,lebu,-37.6167,-73.65,8.73,85,95,0.98,CL,1690415095
184,svitlovods'k,49.0489,33.2411,20.15,66,52,3.18,UA,1690415096
185,vorgashor,67.5833,63.95,13.23,96,100,2.84,RU,1690415096
186,mocimboa,-11.3167,40.35,21.5,86,40,5.0,MZ,1690415096
187,dongdai,26.2419,119.6169,28.95,89,78,10.71,CN,1690415097
188,atbara,17.7022,33.9864,32.67,38,96,7.74,SD,1690415097
189,olinda,-8.0089,-34.8553,25.85,83,40,4.63,BR,1690415098
190,yeghegnadzor,39.7639,45.3324,19.08,65,0,1.95,AM,1690415098
191,tommot,58.9564,126.2925,22.85,72,13,1.56,RU,1690415099
192,sao vicente,-23.9631,-46.3919,29.1,26,24,2.2,BR,1690415099
193,viedma,-40.8135,-62.9967,4.86,72,99,3.12,AR,1690415019
194,zemio,5.0314,25.1361,21.47,91,100,0.93,CF,1690415100
195,peterhead,57.5058,-1.7981,13.22,82,7,5.99,GB,1690415101
196,qaqortoq,60.7167,-46.0333,6.67,84,95,1.68,GL,1690415101
197,dryden,49.7833,-92.7503,28.16,57,0,3.09,CA,1690415102
198,hermanus,-34.4187,19.2345,12.03,82,3,2.98,ZA,1690414987
199,fort st. john,56.2499,-120.8529,15.94,82,100,5.66,CA,1690415103
200,atafu village,-8.5421,-172.5159,28.58,74,56,8.09,TK,1690415104
201,yichun,47.7,128.9,24.52,75,100,1.1,CN,1690415105
202,alta,69.9689,23.2717,14.59,79,100,4.47,NO,1690415105
203,monte alegre,-2.0078,-54.0692,27.33,64,60,1.54,BR,1690415106
204,muli,2.9167,73.5667,28.3,78,69,4.85,MV,1690415106
205,akdepe,42.0551,59.3788,29.05,44,93,4.48,TM,1690415107
206,la ronge,55.1001,-105.2842,12.14,87,100,6.69,CA,1690415107
207,tralee,52.2704,-9.7026,15.85,98,100,3.68,IE,1690415108
208,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,68,0,2.0,RU,1690415108
209,galich,58.3797,42.3475,16.78,99,59,2.04,RU,1690415109
210,summerside,46.3959,-63.7876,24.19,73,52,5.66,CA,1690414603
211,invercargill,-46.4,168.35,6.91,66,100,4.99,NZ,1690414892
212,aasiaat,68.7098,-52.8699,3.29,93,29,3.7,GL,1690415110
213,ola,59.5833,151.2833,16.19,98,100,4.29,RU,1690415111
214,vadso,70.0744,29.7487,10.09,93,100,0.0,NO,1690415111
215,placido de castro,-10.3353,-67.1856,26.21,44,34,0.7,BR,1690415112
216,warrnambool,-38.3833,142.4833,10.38,73,13,6.57,AU,1690414935
217,san patricio,28.017,-97.5169,35.4,55,1,7.52,US,1690415113
218,treasure island,27.7692,-82.769,33.03,68,75,3.09,US,1690415113
219,camana,-16.6228,-72.7111,17.24,87,71,3.19,PE,1690415114
220,port macquarie,-31.4333,152.9167,16.05,65,7,1.84,AU,1690415114
221,moose jaw,50.4001,-105.5344,29.15,17,20,7.2,CA,1690415074
222,leones,-32.6617,-62.2968,10.6,45,60,2.31,AR,1690415115
223,pimenta bueno,-11.6725,-61.1936,25.88,42,45,1.71,BR,1690415116
224,dupont,47.0968,-122.6312,26.46,42,0,5.66,US,1690415116
225,fortuna,40.5982,-124.1573,22.18,69,0,6.69,US,1690415117
226,sungai penuh,-2.0833,101.3833,17.55,90,96,0.8,ID,1690415117
227,nema,57.5067,50.5011,16.8,96,100,3.68,RU,1690415118
228,yangjiang,21.85,111.9667,28.91,80,81,3.19,CN,1690415118
229,rongelap,11.1635,166.8941,28.26,80,99,8.02,MH,1690415119
230,sao jose da coroa grande,-8.8978,-35.1478,23.61,84,25,2.9,BR,1690415119
231,lake havasu city,34.4839,-114.3224,48.46,10,0,6.69,US,1690415013
232,itaituba,-4.2761,-55.9836,26.17,54,9,0.33,BR,1690415120
233,punta arenas,-53.15,-70.9167,0.31,75,15,5.07,CL,1690415120
234,el gouna,27.3942,33.6782,35.05,52,80,3.5,EG,1690415121
235,salalah,17.0151,54.0924,25.05,94,100,4.63,OM,1690415056
236,messini,37.0511,22.0078,30.1,74,29,4.12,GR,1690415122
237,sao tome,0.3365,6.7273,24.19,87,86,4.13,ST,1690415122
238,mancio lima,-7.6142,-72.8958,27.72,56,88,1.06,BR,1690415123
239,grand-bassam,5.2118,-3.7388,25.98,93,64,2.57,CI,1690415124
240,newman,37.3138,-121.0208,40.19,11,0,6.29,US,1690415125
241,luena,-11.7833,19.9167,18.1,48,8,2.57,AO,1690415125
242,nacozari de garcia,30.3742,-109.6908,36.64,26,14,5.3,MX,1690415126
